Position_X,Position_Y,Velocity_X,Velocity_Y,Rotation_X,Raycast_1,Raycast_2,Raycast_3,Raycast_4,Raycast_5,Raycast_6,Raycast_7,Raycast_8,Score,Horizontal,Jump
-286.8006,-7.54999,0.01371742,-8,1,10,2.546469,2.700024,6.646811,7.199341,1.696091,2.299991,4.666917,0,-1,0
-286.8004,-10.05001,0,0,1,1.800354,0.2828519,0.2000027,0.2828539,7.199615,3.959834,4.800012,10,0,-1,0
-286.8004,-10.05001,0,0,1,1.800354,0.2828519,0.2000027,0.2828539,7.199615,3.959834,4.800012,10,0,-1,0
-288.8004,-8.349977,-10,-6.000058,-1,10,2.68707,1.90005,5.515431,5.199554,1.555637,1.100003,4.384034,0,-1,0
-287.1296,-10.05002,10,0,1,2.129608,0.2828485,0.1999979,0.2828512,6.870361,3.959859,3.800028,10,0,-1,0
-287.1296,-10.05002,0,0,1,2.129608,0.2828485,0.1999979,0.2828512,6.870361,3.959859,3.800028,10,0,-1,0
-285.1296,-6.551036,10,12.4949,1,10,3.816927,3.698965,5.231152,2.870392,1.839938,1.301048,8.668484,0,-1,0
-283.1295,-5.452057,10,0.4948977,1,10,8.199527,3.797958,6.785353,3.870483,1.69999,1.202068,6.007636,0,-1,0
-281.1295,-7.253078,10,-16.5051,1,10,5.652497,1.996923,2.824104,10,4.247,5.003089,5.661202,0,-1,0
-280.9689,-7.617007,0,20.4949,1,10,5.137826,2.632964,2.309411,10,4.761667,6.367007,6.175865,0,-1,0
-280.9689,-4.918027,0,8.494898,1,10,10,5.331944,7.540575,4.031067,2.358952,3.668027,4.198703,0,-1,0
-280.9689,-4.652381,0,-4.505103,1,10,10,5.59759,7.916242,4.031067,1.983289,3.402381,4.198703,0,-1,0
-280.9689,-7.653402,0,-22.5051,1,10,5.086368,2.596568,2.257953,10,4.813126,6.403403,6.227322,0,0,0
-282.8208,-7.000511,-10,18.4949,-1,10,4.59546,2.249502,4.595471,5.179169,3.0818,3.750514,6.817681,0,0,0
-281.1537,-4.701531,9.972565,6.494898,1,10,10,4.54847,7.846745,3.846283,2.052784,2.451542,4.459984,0,0,0
-279.1541,-4.902552,9.999963,-7.505103,1,10,10,5.347446,6.148251,5.845886,3.751281,4.652527,2.33704,0,0,0
-277.1541,-8.503573,10,-25.5051,1,6.154053,5.29821,2.746425,2.610606,10,7.4297,5.253563,6.015463,0,0,0
-278.55,-11.04998,-1.508057,0,-1,10,0.2828276,0.1999941,0.2828236,0.4500122,0.6364133,9.799973,9.616637,0,0,0
-278.55,-11.04998,-0.0001830608,0,-1,10,0.2828276,0.1999941,0.2828236,0.4500122,0.6364133,9.799973,9.616637,0,0,0
-279.7188,-7.551003,-9.876543,12.4949,-1,10,6.645351,2.698987,2.402753,10,4.704606,7.300994,5.259104,0,0,0
-278.0496,-6.452023,9.972734,0.4948977,1,10,8.199537,4.797961,4.172567,9.950409,5.586724,5.201995,3.133947,0,0,0
-276.05,-8.253044,9.999963,-16.5051,1,5.049988,5.652528,3.996927,4.171988,10,8.414541,5.003015,5.66117,0,0,0
-274.0499,-12.04997,10,0,1,10,0.2828519,0.2000017,0.2828512,2.950073,10,7.799977,4.313246,0,-1,1
-274.0499,-12.04997,0,0,1,10,0.2828519,0.2000017,0.2828512,2.950073,10,7.799977,4.313246,0,-1,1
-274.0499,-12.04997,0,0,1,10,0.2828519,0.2000017,0.2828512,2.950073,10,7.799977,4.313246,0,-1,1
-276.05,-12.04997,-10,0,-1,10,0.282829,0.1999989,0.2828283,0.9500122,10,8.799945,10,0,-1,1
-274.0499,-8.550994,10,12.4949,1,3.049927,5.231147,3.698979,4.172069,10,9.828869,4.300997,6.082532,0,-1,1
-275.7171,-7.452015,-9.972565,0.4948977,-1,10,6.78533,4.797957,4.642802,10,7.478445,3.202015,4.528346,0,-1,1
-274.0495,-9.253036,9.972603,-16.5051,1,10,4.23832,2.996938,4.17268,6.950562,9.912291,5.003038,8.48959,0,-1,1
-272.0499,-12.04998,10,0,1,10,0.2828526,0.2000017,0.2828519,4.950104,10,7.799982,10,0,-1,1
-272.0499,-12.04998,0,0,1,10,0.2828526,0.2000017,0.2828519,4.950104,10,7.799982,10,0,-1,1
-272.0499,-12.04998,0,0,1,10,0.2828526,0.2000017,0.2828519,4.950104,10,7.799982,10,0,-1,1
-270.0498,-12.04998,10,0,1,10,0.2828546,0.2000046,0.2828539,6.950165,10,2.799975,9.616626,0,0,1
-270.0498,-10.28333,0,-5,1,10,2.781257,1.966645,2.781254,8.950195,9.946622,1.033333,10,0,0,1
-270.0498,-12.04998,0,0,1,10,0.2828303,0.1999998,0.2828296,6.950165,10,2.79998,9.616629,0,0,1
-270.0498,-12.04998,0,0,1,9.635712,0.2828303,0.1999998,0.2828296,6.950165,10,2.79998,9.616629,0,0,1
-268.0498,-12.04998,10,0,1,6.435577,0.2828532,0.2000027,0.2828526,8.950226,3.959753,8.799985,3.959775,0,0,1
-266.0497,-12.04998,10,0,1,3.235443,0.2828546,0.2000046,0.2828546,10,6.038491,9.799985,3.959753,0,0,1
-266.0497,-10.28333,0,-5,1,10,2.781261,1.96665,2.781257,10,8.532443,8.03334,1.461349,0,0,1
-267.8838,-12.04998,-10,0,-1,2.669342,0.2828512,0.1999989,0.2828512,9.116241,3.959777,8.799989,3.959777,0,0,1
-267.8838,-8.551002,0,12.4949,-1,1.883759,5.231147,3.698979,5.231141,2.116241,6.082534,5.301008,5.492461,0,0,1
-269.7173,-7.452023,-9.986282,0.4948977,-1,10,6.785352,4.797957,1.128508,10,4.52835,3.202033,8.770979,10,0,1
-271.7171,-8.644933,-10,-10.424,-1,0.7171326,4.39123,3.605044,5.098297,10,7.629576,4.39494,9.043826,10,-1,1
-271.8836,-12.04998,-0.01371742,-5.031343,-1,1.868896,0.2828303,0.1999998,0.282829,5.116394,10,7.799984,10,10,-1,1
-273.8837,-8.550998,-10,12.4949,-1,2.883667,4.524073,3.698977,4.407192,10,10,4.301001,6.082557,10,-1,1
-274.0501,-7.452019,-0.01371742,0.4948977,-1,10,6.785329,4.797956,5.371142,10,8.770991,3.202022,4.52835,10,-1,1
-275.884,-9.253039,-9.986301,-16.5051,-1,10,3.531225,2.996932,2.824111,5.116058,8.649364,5.050685,7.075381,10,-1,1
-274.5463,-11.44997,0,18,1,10,0.4242947,0.300025,1.131362,2.453735,10,7.199975,10,10,-1,1
-274.5463,-9.249973,0,6,1,3.546295,4.242643,3,3.470072,10,9.899459,4.999976,7.071035,10,-1,1
-274.5463,-9.649974,0,-9.000001,1,10,3.676962,2.599999,2.969869,6.453735,10,5.399977,7.636739,10,-1,1
-274.5463,-13.54997,0,-27,1,10,8.061066,5.700026,8.061066,10,1.838492,1.300001,1.83849,10,-1,1
-274.5463,-19.54997,0,-42,1,10,10,10,10,10,0.4242373,0.2999744,0.4242158,10,-1,1
